index,Order ID,Date,Status,Fulfilment,Sales Channel,ship-service-level,Category,Size,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B,fulfilled-by
84448,402-5835539-5404352,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,635.0,Pune,MAHARASHTRA,411038.0,IN,False,Not Specified
84449,404-9951036-4568324,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Trousers,M,Shipped,1,INR,518.0,SHILLONG,MEGHALAYA,793006.0,IN,False,Not Specified
84450,402-1515983-0966757,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,517.0,Madurai,TAMIL NADU,625018.0,IN,False,Not Specified
84451,402-1914449-1802721,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Blazzer,3XL,Shipped,1,INR,859.0,BATHINDA,PUNJAB,151001.0,IN,False,Not Specified
84452,406-3660966-0542763,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,487.0,Delhi,DELHI,110006.0,IN,False,Not Specified
84453,404-5569705-8389967,2022-04-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XXL,Shipped,1,INR,459.0,Chennai,TAMIL NADU,603112.0,IN,False,Easy Ship
84454,404-5387554-6540304,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,459.0,Chennai,TAMIL NADU,603112.0,IN,False,Not Specified
84455,407-9807088-4027500,2022-04-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,517.0,ERNAKULAM,KERALA,682025.0,IN,False,Easy Ship
84456,407-9807088-4027500,2022-04-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,487.0,ERNAKULAM,KERALA,682025.0,IN,False,Easy Ship
84457,404-3361151-8962700,2022-04-05,Cancelled,Amazon,Amazon.in,Expedited,Shirt,6XL,Unshipped,1,INR,431.0,GADHINGLAJ,MAHARASHTRA,416502.0,IN,False,Not Specified
84458,402-0027902-1476321,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,458.0,BENGALURU,KARNATAKA,560017.0,IN,True,Not Specified
84459,408-5256607-7124320,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XL,Shipped,1,INR,626.0,BADLAPUR,MAHARASHTRA,421503.0,IN,False,Not Specified
84460,403-7139397-7761168,2022-04-05,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,Blazzer,XL,Shipped,1,INR,690.0,NOIDA,UTTAR PRADESH,201301.0,IN,False,Easy Ship
84461,404-5904962-2599527,2022-04-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,XL,Shipped,1,INR,743.0,KOLKATA,WEST BENGAL,700036.0,IN,False,Easy Ship
84462,403-8646806-3523539,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,3XL,Shipped,1,INR,486.0,PATNA,BIHAR,800020.0,IN,False,Not Specified
84463,171-5420241-5751551,2022-04-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,L,Shipped,1,INR,486.0,BANGALORE,KARNATAKA,560008.0,IN,False,Easy Ship
84464,171-3696494-7566740,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,486.0,BANGALORE,KARNATAKA,560008.0,IN,False,Not Specified
84465,171-3696494-7566740,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,376.0,BANGALORE,KARNATAKA,560008.0,IN,False,Not Specified
84466,402-3679779-1225925,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,XS,Shipped,1,INR,310.0,VASAI VIRAR,MAHARASHTRA,401203.0,IN,False,Not Specified
84467,402-6512204-8029913,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,442.0,Vadodara,Gujarat,390022.0,IN,False,Not Specified
84468,408-0691556-8266743,2022-04-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,0.0,DIBRUGARH,ASSAM,786001.0,IN,False,Easy Ship
84469,407-1034094-6450716,2022-04-05,Cancelled,Amazon,Amazon.in,Expedited,Shirt,M,Unshipped,1,INR,487.0,GHAZIABAD,UTTAR PRADESH,201016.0,IN,False,Not Specified
84470,405-0502570-1524303,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,612.0,DOMBIVLI,MAHARASHTRA,421201.0,IN,False,Not Specified
84471,404-9408661-1169964,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,399.0,Thana,MAHARASHTRA,400612.0,IN,False,Not Specified
84472,408-5862878-1500300,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,626.0,Mumbai,MAHARASHTRA,400042.0,IN,False,Not Specified
84473,407-5523838-7804358,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,1111.0,HYDERABAD,TELANGANA,500073.0,IN,False,Not Specified
84474,407-9209355-8320334,2022-04-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,L,Shipped,1,INR,743.0,KURNOOL,ANDHRA PRADESH,518005.0,IN,False,Easy Ship
84475,407-9209355-8320334,2022-04-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,L,Shipped,1,INR,724.0,KURNOOL,ANDHRA PRADESH,518005.0,IN,False,Easy Ship
84476,407-9209355-8320334,2022-04-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,L,Shipped,1,INR,724.0,KURNOOL,ANDHRA PRADESH,518005.0,IN,False,Easy Ship
84477,407-5691465-3855520,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,399.0,Pune.,MAHARASHTRA,411037.0,IN,False,Not Specified
84478,406-2453200-4009921,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,459.0,NEW DELHI,DELHI,110077.0,IN,False,Not Specified
84479,406-2096336-6933967,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,406.0,HYDERABAD,TELANGANA,500049.0,IN,False,Not Specified
84480,406-0328777-6611568,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,495.0,HYDERABAD,TELANGANA,500049.0,IN,False,Not Specified
84481,402-9687890-8935527,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XS,Shipped,1,INR,835.0,Beawar,RAJASTHAN,305901.0,IN,False,Not Specified
84482,171-6686550-2923500,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XL,Shipped,1,INR,1099.0,GURUGRAM,HARYANA,122001.0,IN,False,Not Specified
84483,403-1805665-2725106,2022-04-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,L,Shipped,1,INR,724.0,BATHALAPALLE,ANDHRA PRADESH,515661.0,IN,False,Easy Ship
84484,402-7880536-2190734,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Trousers,M,Shipped,1,INR,464.0,Kolkata,WEST BENGAL,700135.0,IN,False,Not Specified
84485,407-6515286-6651549,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,399.0,GREATER NOIDA,UTTAR PRADESH,201308.0,IN,False,Not Specified
84486,405-4664578-7430758,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,499.0,MUMBAI,MAHARASHTRA,400076.0,IN,False,Not Specified
84487,171-3018222-5213133,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XL,Shipped,1,INR,835.0,HYDERABAD,TELANGANA,500050.0,IN,False,Not Specified
84488,404-5085943-8335554,2022-04-05,Cancelled,Amazon,Amazon.in,Expedited,Blazzer,XL,Unshipped,1,INR,743.0,KOLKATA,WEST BENGAL,700036.0,IN,False,Not Specified
84489,407-0000610-8381131,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,376.0,MUMBAI,MAHARASHTRA,400068.0,IN,False,Not Specified
84490,405-3900115-1271519,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,S,Shipped,1,INR,435.0,MANNARKAD,KERALA,678591.0,IN,False,Not Specified
84491,402-4832950-3339519,2022-04-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Trousers,S,Shipped,1,INR,599.0,NOIDA,UTTAR PRADESH,201301.0,IN,False,Easy Ship
84492,408-5146934-0477114,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,939.0,PATNA,BIHAR,804453.0,IN,False,Not Specified
84493,402-0001579-4701128,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,484.0,BENGALURU,KARNATAKA,560006.0,IN,False,Not Specified
84494,407-5533338-8511564,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XL,Shipped,1,INR,1432.0,ANANDPUR SAHIB,PUNJAB,140118.0,IN,False,Not Specified
